Crystal,Peak,Source,Peak_Error,Source_Error,,,,,,,,,,
1,128.737,121.782,0.007,0.0003,,,1,128.737,121.782,0.128737,0.0243564,,,0.0643685
1,258.35,244.697,0.016,0.0008,,,1,258.35,244.697,0.25835,0.0489394,,,
1,363.383,344.279,0.019,0.0012,,,1,363.383,344.279,0.363383,0.0688558,,,
1,823.685,778.9045,0.016,0.0024,,,1,823.685,778.9045,0.823685,0.1557809,,,
1,1489.25,1408.018,0.023,0.003,,,1,1489.25,1408.018,1.48925,0.2816036,,,
2,65.8012,121.782,0.03,0.0003,,,2,65.8012,121.782,0.0658012,0.0243564,,,
2,131.854,244.697,0.03,0.0008,,,2,131.854,244.697,0.131854,0.0489394,,,
2,185.593,344.279,0.05,0.0012,,,2,185.593,344.279,0.185593,0.0688558,,,
2,419.713,778.9045,0.034,0.0024,,,2,419.713,778.9045,0.419713,0.1557809,,,
2,758.817,1408.018,0.033,0.003,,,2,758.817,1408.018,0.758817,0.2816036,,,
3,128.167,121.782,0.0132,0.0003,,,3,128.167,121.782,0.128167,0.0243564,,,
3,157.416,244.697,0.013,0.0008,,,3,257.416,244.697,0.257416,0.0489394,,,
3,362.153,344.279,0.011,0.0012,,,3,362.153,344.279,0.362153,0.0688558,,,
3,820.243,778.9045,0.03,0.0024,,,3,820.243,778.9045,0.820243,0.1557809,,,
3,1482.45,1408.018,0.02,0.003,,,3,1482.45,1408.018,1.48245,0.2816036,,,
4,132.167,121.782,0.01,0.0003,,,4,132.167,121.782,0.132167,0.0243564,,,
4,266.538,244.697,0.01,0.0008,,,4,266.538,244.697,0.266538,0.0489394,,,
4,374.43,344.279,0.02,0.0012,,,4,374.43,344.279,0.37443,0.0688558,,,
4,845.45,778.9045,0.03,0.0024,,,4,845.45,778.9045,0.84545,0.1557809,,,
4,1527.53,1408.018,0.02,0.003,,,4,1527.53,1408.018,1.52753,0.2816036,,,
5,108.924,121.782,0.006,0.0003,,,5,108.924,121.782,0.108924,0.0243564,,,
5,219.07,244.697,0.04,0.0008,,,5,219.07,244.697,0.21907,0.0489394,,,
5,308.31,344.279,0.01,0.0012,,,5,308.31,344.279,0.30831,0.0688558,,,
5,699.39,778.9045,0.02,0.0024,,,5,699.39,778.9045,0.69939,0.1557809,,,
5,1263.33,1408.018,0.03,0.003,,,5,1263.33,1408.018,1.26333,0.2816036,,,
6,108.39,121.782,0.02,0.0003,,,6,108.39,121.782,0.10839,0.0243564,,,
6,215.19,244.697,0.02,0.0008,,,6,215.19,244.697,0.21519,0.0489394,,,
6,301.84,344.279,0.02,0.0012,,,6,301.84,344.279,0.30184,0.0688558,,,
6,679.58,778.9045,0.02,0.0024,,,6,679.58,778.9045,0.67958,0.1557809,,,
6,1227.81,1408.018,0.02,0.003,,,6,1227.81,1408.018,1.22781,0.2816036,,,
7,117.84,121.782,0.01,0.0003,,,7,117.84,121.782,0.11784,0.0243564,,,
7,236.6,244.697,0.015,0.0008,,,7,236.6,244.697,0.2366,0.0489394,,,
7,334.35,344.279,0.01,0.0012,,,7,334.35,344.279,0.33435,0.0688558,,,
7,755.215,778.9045,0.03,0.0024,,,7,755.215,778.9045,0.755215,0.1557809,,,
7,1365.58,1408.018,0.02,0.003,,,7,1365.58,1408.018,1.36558,0.2816036,,,
8,115.05,121.782,0.01,0.0003,,,8,115.05,121.782,0.11505,0.0243564,,,
8,231.19,244.697,0.04,0.0008,,,8,231.19,244.697,0.23119,0.0489394,,,
8,325.38,344.279,0.02,0.0012,,,8,325.38,344.279,0.32538,0.0688558,,,
8,736.736,778.9045,0.02,0.0024,,,8,736.736,778.9045,0.736736,0.1557809,,,
8,1332.36,1408.018,0.04,0.003,,,8,1332.36,1408.018,1.33236,0.2816036,,,
9,112.37,121.782,0.01,0.0003,,,9,112.37,121.782,0.11237,0.0243564,,,
9,225.45,244.697,0.01,0.0008,,,9,225.45,244.697,0.22545,0.0489394,,,
9,317.33,344.279,0.01,0.0012,,,9,317.33,344.279,0.31733,0.0688558,,,
