Egamma (keV),efficiency
100,0.189283
200,0.166792
300,0.140941
400,0.121191
500,0.106778
600,0.0961311
700,0.088055
800,0.0817447
900,0.0766691
1000,0.0724749
1100,0.0689231
1200,0.0658491
1300,0.0631375
1400,0.0607065
1500,0.0584967
1600,0.056465
1700,0.0545794
1800,0.052816
1900,0.0511568
2000,0.049588
2100,0.0480988
2200,0.0466809
2300,0.0453275
2400,0.0440334
2500,0.0427939
2600,0.0416053
2700,0.0404645
2800,0.0393687
2900,0.0383154
3000,0.0373023
3100,0.0363276
3200,0.0353893
3300,0.0344858
3400,0.0336156
3500,0.032777
