crys,source,location,source_error,location_error
1,121.782,128.5,0.1,0.5
1,244.697,258.5,0.1,0.5
1,344.279,363.5,0.1,0.5
1,778.904,823.5,0.1,0.5
1,964.057,1489.5,0.1,0.5
1,1408.02,1492,0.1,0.5
2,121.782,131.5,0.1,0.5
2,244.697,185.5,0.1,0.5
2,344.279,419.5,0.1,0.5
2,778.904,519.5,0.1,0.5
2,964.057,758.5,0.1,0.5
2,1408.02,1073,0.1,0.5
3,121.782,128.5,0.1,0.5
3,244.697,257.5,0.1,0.5
3,344.279,362.5,0.1,0.5
3,778.904,820.5,0.1,0.5
3,964.057,1482.5,0.1,0.5
3,1408.02,1582,0.1,0.5
4,121.782,132.5,0.1,0.5
4,244.697,266.5,0.1,0.5
4,344.279,374.5,0.1,0.5
4,778.904,845.5,0.1,0.5
4,964.057,1358,0.1,0.5
4,1408.02,1527.5,0.1,0.5
5,121.782,108.5,0.1,0.5
5,244.697,219.5,0.1,0.5
5,344.279,308.5,0.1,0.5
5,778.904,699.5,0.1,0.5
5,964.057,1263.5,0.1,0.5
5,1408.02,1273,0.1,0.5
6,121.782,108.5,0.1,0.5
6,244.697,215.5,0.1,0.5
6,344.279,301.5,0.1,0.5
6,778.904,679.5,0.1,0.5
6,964.057,1227.5,0.1,0.5
6,1408.02,1499,0.1,0.5
7,121.782,117.5,0.1,0.5
7,244.697,236.5,0.1,0.5
7,344.279,334.5,0.1,0.5
7,778.904,934.5,0.1,0.5
7,964.057,1365.5,0.1,0.5
7,1408.02,1405,0.1,0.5
8,121.782,114.5,0.1,0.5
8,244.697,231.5,0.1,0.5
8,344.279,325.5,0.1,0.5
8,778.904,736.5,0.1,0.5
8,964.057,1332.5,0.1,0.5
8,1408.02,1339,0.1,0.5
9,121.782,112.5,0.1,0.5
9,244.697,188,0.1,0.5
9,344.279,225.5,0.1,0.5
9,778.904,317.5,0.1,0.5
9,964.057,889.5,0.1,0.5
9,1408.02,1300.5,0.1,0.5
12,121.782,124.5,0.1,0.5
12,244.697,250.5,0.1,0.5
12,344.279,351.5,0.1,0.5
