1   1113	1241.5	0.1	0.5
1	1173	1409.5	0.1	0.5
2	1113	632.5	0.1	0.5
2	1173	718.5	0.1	0.5
3	1113	1235.5	0.1	0.5
3	1173	1403.5	0.1	0.5
4	1113	1273.5	0.1	0.5
4	1173	1445.5	0.1	0.5
5	1113	1052.5	0.1	0.5
5	1173	1195.5	0.1	0.5
6	1113	1023.5	0.1	0.5
6	1173	1161.5	0.1	0.5
7	1113	1137.5	0.1	0.5
7	1173	1292.5	0.1	0.5
8	1113	1109.5	0.1	0.5
8	1173	1260.5	0.1	0.5
9	1113	1082.5	0.1	0.5
9	1173	1230.5	0.1	0.5
10	1113	1194.5	0.1	0.5
10	1173	1357.5	0.1	0.5
11	1113	1112.5	0.1	0.5
11	1173	1263.5	0.1	0.5
12	1113	1198.5	0.1	0.5
12	1173	1361.5	0.1	0.5
13	1113	1129.5	0.1	0.5
13	1173	1284.5	0.1	0.5
14	1113	1132.5	0.1	0.5
14	1173	1287.5	0.1	0.5
15	1113	1150.5	0.1	0.5
15	1173	1309.5	0.1	0.5
16	1113	1150.5	0.1	0.5
16	1173	1308.5	0.1	0.5
17	1113	1184.5	0.1	0.5
17	1173	1346.5	0.1	0.5
18	1113	1230.5	0.1	0.5
18	1173	1396.5	0.1	0.5
19	1113	1230.5	0.1	0.5
19	1173	1399.5	0.1	0.5
20	1113	1308.5	0.1	0.5
20	1173	1485.5	0.1	0.5
24	1113	1244.5	0.1	0.5
24	1173	1413.5	0.1	0.5
25	1113	1153.5	0.1	0.5
25	1173	1309.5	0.1	0.5
26	1113	1238.5	0.1	0.5
26	1173	1407.5	0.1	0.5
27	1113	1218.5	0.1	0.5
27	1173	1384.5	0.1	0.5
28	1113	1247.5	0.1	0.5
28	1173	1417.5	0.1	0.5
29	1113	1488.5	0.1	0.5
29	1173	1690.5	0.1	0.5
30	1113	1472.5	0.1	0.5
30	1173	1671.5	0.1	0.5
31	1113	1390.5	0.1	0.5
31	1173	1578.5	0.1	0.5
32	1113	1522.5	0.1	0.5
32	1173	1728.5	0.1	0.5
33	1113	1288.5	0.1	0.5
33	1173	1465.5	0.1	0.5
34	1113	1315.5	0.1	0.5
34	1173	1493.5	0.1	0.5
35	1113	1244.5	0.1	0.5
35	1173	1412.5	0.1	0.5
36	1113	1309.5	0.1	0.5
36	1173	1490.5	0.1	0.5
37	1113	1224.5	0.1	0.5
37	1173	1389.5	0.1	0.5
38	1113	1209.5	0.1	0.5
38	1173	1373.5	0.1	0.5
39	1113	1171.5	0.1	0.5
39	1173	1330.5	0.1	0.5
41	1113	1242.5	0.1	0.5
41	1173	1411.5	0.1	0.5
42	1113	1227.5	0.1	0.5
42	1173	1393.5	0.1	0.5
43	1113	1233.5	0.1	0.5
43	1173	1400.5	0.1	0.5
44	1113	1248.5	0.1	0.5
44	1173	1420.5	0.1	0.5
45	1113	1206.5	0.1	0.5
45	1173	1372.5	0.1	0.5
46	1113	1281.5	0.1	0.5
46	1173	1454.5	0.1	0.5
47	1113	1235.5	0.1	0.5
47	1173	1404.5	0.1	0.5
